2025-07-23 14:16:50.041943 [INFO] class_ch341.py -                 init(71): 运行在开发环境中。尝试从脚本目录相对路径加载库: /home/tars/Tashan/lib/ch341/CH341PAR_LINUX/lib/x64/dynamic/libch347.so
2025-07-23 14:16:50.047316 [INFO] class_ch341.py -                 init(100): ch341加载成功
2025-07-23 14:16:50.352172 [INFO] class_ch341.py -                 open(134): CH341 device opened successfully on Linux.
2025-07-23 14:16:50.707080 [INFO] class_finger.py -                 checkSensor(80): project=17
2025-07-23 14:16:50.717581 [INFO] class_finger.py -                 checkSensor(86): finger connected, project = 两指-大包
2025-07-23 14:16:50.727859 [INFO] cap_read.py -                 capRead(215): sensor[0] connected
2025-07-23 14:16:50.788830 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:50.788938 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3344486, 3212196, 3451228, 3317494, 3174126, 3147282, 3244830, 3259512, 3156776, 3226988, 3501182, 3366852, 3242554, 3445146, 3930166, 8256280]
2025-07-23 14:16:50.788986 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:50.789008 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:50.789029 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:50.789049 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:50.789068 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:50.789088 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:50.789108 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:50.789126 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:50.834216 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:50.834318 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3344486, 3211172, 3450924, 3317570, 3174126, 3147282, 3244602, 3258792, 3157762, 3228734, 3501978, 3366472, 3242554, 3445146, 3930014, 8256280]
2025-07-23 14:16:50.834360 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:50.834381 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:50.834399 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:50.834419 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:50.834437 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:50.834454 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:50.834472 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:50.834491 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:50.899630 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:50.899729 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3343916, 3211854, 3451076, 3316470, 3170182, 3144020, 3240582, 3255644, 3152794, 3223992, 3498450, 3365524, 3241076, 3443590, 3929522, 8254308]
2025-07-23 14:16:50.899755 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:50.899777 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:50.899796 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:50.899815 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:50.899834 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:50.899853 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:50.899871 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:50.899889 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:50.965044 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:50.965135 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3343120, 3210034, 3450810, 3316470, 3170980, 3144628, 3240582, 3255644, 3156282, 3224826, 3499512, 3365980, 3241266, 3444046, 3928308, 8254308]
2025-07-23 14:16:50.965163 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:50.965184 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:50.965204 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:50.965223 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:50.965241 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:50.965259 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:50.965277 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:50.965296 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:51.030411 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:51.030504 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3342248, 3209806, 3450584, 3316888, 3171624, 3145500, 3242554, 3255720, 3156282, 3225510, 3499854, 3364804, 3241530, 3445298, 3928042, 8252334]
2025-07-23 14:16:51.030531 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:51.030552 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:51.030571 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:51.030590 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:51.030609 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:51.030627 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:51.030646 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:51.030665 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:51.095785 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:51.095888 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3343802, 3211702, 3450584, 3315788, 3170562, 3145500, 3241380, 3255682, 3155334, 3224638, 3499854, 3364804, 3241266, 3445298, 3928118, 8256014]
2025-07-23 14:16:51.095919 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:51.095940 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:51.095960 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:51.095979 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:51.095998 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:51.096017 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:51.096036 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:51.096055 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:51.141181 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:51.141254 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3341906, 3211702, 3449938, 3315750, 3169538, 3142352, 3239294, 3254582, 3154576, 3223878, 3498374, 3365070, 3239976, 3442302, 3927094, 8256014]
2025-07-23 14:16:51.141278 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:51.141299 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:51.141317 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:51.141335 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:51.141354 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:51.141379 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
2025-07-23 14:16:51.141397 [INFO] test.py -                 fingerReadHandle(22): sProxCapData = [0, 0]
2025-07-23 14:16:51.141416 [INFO] test.py -                 fingerReadHandle(23): mProxCapData = [0]
2025-07-23 14:16:51.206607 [INFO] test.py -                 fingerReadHandle(16): index=0
2025-07-23 14:16:51.206693 [INFO] test.py -                 fingerReadHandle(17): capChannelDat=[3341792, 3209464, 3449484, 3316622, 3170258, 3143186, 3241152, 3255568, 3155296, 3225434, 3499968, 3365108, 3241266, 3444312, 3930318, 8256242]
2025-07-23 14:16:51.206719 [INFO] test.py -                 fingerReadHandle(19): nf[0] = 0.0
2025-07-23 14:16:51.206743 [INFO] test.py -                 fingerReadHandle(20): tf[0] = 0.0
2025-07-23 14:16:51.206763 [INFO] test.py -                 fingerReadHandle(21): tfDir[0] = 65535
2025-07-23 14:16:51.206782 [INFO] test.py -                 fingerReadHandle(19): nf[1] = 0.0
2025-07-23 14:16:51.206800 [INFO] test.py -                 fingerReadHandle(20): tf[1] = 0.0
2025-07-23 14:16:51.206819 [INFO] test.py -                 fingerReadHandle(21): tfDir[1] = 65535
